seconds,count
116.00,0.00
112.00,0.00
160.00,0.00
51.50,0.00
102.00,1.00
77.40,0.00
14.50,0.00
1070.00,3.00
99.10,1.00
49.60,0.00
50.80,0.00
77.20,0.00
114.00,0.00
165.00,0.00
106.00,0.00
52.90,0.00
104.00,2.00
51.00,2.00
51.40,0.00
316.00,2.00
687.00,4.00
101.00,0.00
99.70,0.00
49.20,0.00
49.20,1.00
104.00,0.00
53.50,0.00
124.00,0.00
168.00,0.00
109.00,0.00
107.00,1.00
103.00,0.00
52.10,0.00
104.00,1.00
656.00,5.00
111.00,1.00
417.00,2.00
149.00,1.00
56.50,1.00
12.50,0.00
101.00,1.00
107.00,0.00
113.00,1.00
80.80,0.00
110.00,0.00
109.00,0.00
105.00,0.00
104.00,1.00
107.00,0.00
53.30,0.00
51.10,0.00
868.00,1.00
105.00,0.00
105.00,0.00
103.00,2.00
104.00,0.00
105.00,0.00
52.10,0.00
52.30,0.00
1110.00,0.00
30.40,0.00
116.00,0.00
44.90,0.00
46.10,0.00
97.90,0.00
102.00,1.00
162.00,0.00
102.00,0.00
102.00,0.00
98.70,0.00
98.70,2.00
103.00,0.00
51.60,1.00
53.10,0.00
1290.00,3.00
56.80,0.00
89.20,1.00
52.80,1.00
72.20,0.00
111.00,0.00
57.70,0.00
32.80,0.00
99.60,2.00
50.90,1.00
51.20,0.00
1350.00,6.00
69.10,0.00
67.70,0.00
38.20,1.00
37.90,0.00
31.30,0.00
121.00,0.00
55.80,0.00
460.00,7.00
128.00,0.00
38.70,1.00
41.80,0.00
81.70,0.00
88.30,0.00
37.40,0.00
